product_slug,product_label,metal_species,regulatory_limit_id,regulatory_value_ug_kg,regulatory_status,regulatory_scope,field_finding_summary,comparison_status,hmtc_use,sources
infant-formula-powder-non-soy,"Infant formula, powder (non-soy)",Pb,eu2023_pb_formula_powder_20,20,maximum level,"infant formula powder placed on the market","FDA 2026 prepared-for-feeding cow-milk powder subset: N=230; Pb detected 0.1-0.6 ug/kg; values are not powder-as-placed.",EU maximum level loaded; comparison blocked because occurrence row is prepared-for-feeding while EU powder ML is product-as-placed.,External EU legal ceiling; use for standards context only after basis conversion.,regulations/eu2023-contaminants-maximum-levels; sources/fda2026-infant-formula-toxic-elements-special-survey
infant-formula-powder-non-soy,"Infant formula, powder (non-soy)",Cd,eu2023_cd_formula_cow_powder_10,10,maximum level,"infant formula powder manufactured from cow's milk proteins or hydrolysates","FDA 2026 prepared-for-feeding cow-milk powder subset: N=230; Cd detected 0.1-1.3 ug/kg; values are not powder-as-placed.",EU maximum level loaded; comparison blocked because occurrence row is prepared-for-feeding while EU powder ML is product-as-placed.,External EU legal ceiling; use for standards context only after basis conversion.,regulations/eu-2023-915-cadmium; sources/fda2026-infant-formula-toxic-elements-special-survey
infant-formula-powder-non-soy,"Infant formula, powder (non-soy)",iAs,eu2023_ias_formula_powder_20,20,maximum level,"infant formula powder placed on the market",FDA 2026 reports total arsenic for this formula subset; no comparable inorganic arsenic field row is loaded.,EU maximum level loaded; comparison blocked because occurrence row is total arsenic and prepared-for-feeding while EU value is inorganic arsenic and product-as-placed.,External EU legal ceiling and speciation gap marker; not a direct comparison.,regulations/eu2023-contaminants-maximum-levels; sources/fda2026-infant-formula-toxic-elements-special-survey
infant-formula-powder-soy-based,"Infant formula, powder (soy-based)",Pb,eu2023_pb_formula_powder_20,20,maximum level,"infant formula powder placed on the market","FDA 2026 prepared-for-feeding soy powder subset: N=38; Pb detected 0.1-1.1 ug/kg; values are not powder-as-placed.",EU maximum level loaded; comparison blocked because occurrence row is prepared-for-feeding while EU powder ML is product-as-placed.,External EU legal ceiling; use for standards context only after basis conversion.,regulations/eu2023-contaminants-maximum-levels; sources/fda2026-infant-formula-toxic-elements-special-survey
infant-formula-powder-soy-based,"Infant formula, powder (soy-based)",Cd,eu2023_cd_formula_soy_powder_20,20,maximum level,"infant formula powder manufactured from soy protein isolates alone or mixed with cow's milk proteins","FDA 2026 prepared-for-feeding soy powder subset: N=38; Cd detected 0.4-1.4 ug/kg; values are not powder-as-placed.",EU maximum level loaded; comparison blocked because occurrence row is prepared-for-feeding while EU powder ML is product-as-placed.,External EU legal ceiling; use for standards context only after basis conversion.,regulations/eu-2023-915-cadmium; sources/fda2026-infant-formula-toxic-elements-special-survey
infant-formula-powder-soy-based,"Infant formula, powder (soy-based)",iAs,eu2023_ias_formula_powder_20,20,maximum level,"infant formula powder placed on the market",FDA 2026 reports total arsenic for this formula subset; no comparable inorganic arsenic field row is loaded.,EU maximum level loaded; comparison blocked because occurrence row is total arsenic and prepared-for-feeding while EU value is inorganic arsenic and product-as-placed.,External EU legal ceiling and speciation gap marker; not a direct comparison.,regulations/eu2023-contaminants-maximum-levels; sources/fda2026-infant-formula-toxic-elements-special-survey
infant-formula-rtf-liquid-non-soy,"Infant formula, ready-to-feed liquid (non-soy)",Pb,eu2023_pb_formula_liquid_10,10,maximum level,"infant formula liquid placed on the market",FDA 2026 ready-to-feed cow-milk subset: N=20; Pb detected 0.2-0.5 ug/kg; ready-to-feed values are the relevant liquid basis.,Direct comparison available for product basis; no exceedance indicated in this source subset.,External EU legal ceiling and field-comparison context; not an HMTc value.,regulations/eu2023-contaminants-maximum-levels; sources/fda2026-infant-formula-toxic-elements-special-survey
infant-formula-rtf-liquid-non-soy,"Infant formula, ready-to-feed liquid (non-soy)",Cd,eu2023_cd_formula_cow_liquid_5,5,maximum level,"infant formula liquid manufactured from cow's milk proteins or hydrolysates",FDA 2026 ready-to-feed cow-milk subset: N=20; Cd detected 0.09-0.7 ug/kg; ready-to-feed values are the relevant liquid basis.,Direct comparison available for product basis; no exceedance indicated in this source subset.,External EU legal ceiling and field-comparison context; not an HMTc value.,regulations/eu-2023-915-cadmium; sources/fda2026-infant-formula-toxic-elements-special-survey
infant-formula-rtf-liquid-non-soy,"Infant formula, ready-to-feed liquid (non-soy)",iAs,eu2023_ias_formula_liquid_10,10,maximum level,"infant formula liquid placed on the market",FDA 2026 reports total arsenic for this formula subset; no comparable inorganic arsenic field row is loaded.,EU maximum level loaded; comparison blocked because occurrence row reports total arsenic rather than inorganic arsenic.,External EU legal ceiling and speciation gap marker; not a direct comparison.,regulations/eu2023-contaminants-maximum-levels; sources/fda2026-infant-formula-toxic-elements-special-survey
infant-formula-rtf-liquid-soy-based,"Infant formula, ready-to-feed liquid (soy-based)",Pb,eu2023_pb_formula_liquid_10,10,maximum level,"infant formula liquid placed on the market",FDA 2026 ready-to-feed soy subset: N=3; Pb detected 0.2-0.4 ug/kg; ready-to-feed values are the relevant liquid basis.,Direct comparison available for product basis; source subset is small and no exceedance is indicated.,External EU legal ceiling and field-comparison context; not an HMTc value.,regulations/eu2023-contaminants-maximum-levels; sources/fda2026-infant-formula-toxic-elements-special-survey
