product_slug,product_standard_scope,source_id,source_page,source_title,declared_products,route_kind,route_basis,route_status,value_record_count,declared_metal_species,metal_species,missing_metal_species,product_page_cites_source,evidence_use,action_needed,route_note
infant-formula-powder,base_context,akhtar2017-pakistan-infant-formula-nickel-aflatoxin,wiki/sources/akhtar2017-pakistan-infant-formula-nickel-aflatoxin.md,Determination of aflatoxin M1 and heavy metals in infant formula milk brands available in Pakistani markets,infant-formula-powder,direct_product_frontmatter,frontmatter:infant-formula-powder,source_on_page_no_structured_value,0,"Ni;Pb;Cd;Fe;Zn",,"Ni;Pb;Cd;Fe;Zn",true,direct_context_pending_extraction,"Extract product-row values if the source table is usable; otherwise document why it remains context only.",Source declares or links this exact locked/context product row.
infant-formula-powder-non-soy,locked_hmtc_row,akhtar2017-pakistan-infant-formula-nickel-aflatoxin,wiki/sources/akhtar2017-pakistan-infant-formula-nickel-aflatoxin.md,Determination of aflatoxin M1 and heavy metals in infant formula milk brands available in Pakistani markets,infant-formula-powder,broad_powder_context,frontmatter:infant-formula-powder,source_on_page_no_structured_value,0,"Ni;Pb;Cd;Fe;Zn",,"Ni;Pb;Cd;Fe;Zn",true,broad_context_pending_row_fit,"Keep visible as broad context; extract only if product row fit, basis, species, and statistic type can be resolved.",Source is declared for powdered formula but does not itself resolve the locked soy/non-soy row split.
infant-formula-powder-soy-based,locked_hmtc_row,akhtar2017-pakistan-infant-formula-nickel-aflatoxin,wiki/sources/akhtar2017-pakistan-infant-formula-nickel-aflatoxin.md,Determination of aflatoxin M1 and heavy metals in infant formula milk brands available in Pakistani markets,infant-formula-powder,broad_powder_context,frontmatter:infant-formula-powder,source_on_page_no_structured_value,0,"Ni;Pb;Cd;Fe;Zn",,"Ni;Pb;Cd;Fe;Zn",true,broad_context_pending_row_fit,"Keep visible as broad context; extract only if product row fit, basis, species, and statistic type can be resolved.",Source is declared for powdered formula but does not itself resolve the locked soy/non-soy row split.
infant-formula-powder,base_context,almeida2022-brazil-infant-formula-toxic-metals,wiki/sources/almeida2022-brazil-infant-formula-toxic-metals.md,"Toxic Metals and Metalloids in Infant Formulas Marketed in Brazil, and Child Health Risks According to the Target Hazard Quotients and Target Cancer Risk",infant-formula-powder,direct_product_frontmatter,frontmatter:infant-formula-powder,missing_direct_product_route,0,"Al;tAs;Cd;Sn;tHg;Pb;U",,"Al;tAs;Cd;Sn;tHg;Pb;U",false,direct_context_pending_extraction,"Promote this source to the product page, then decide whether structured values can be extracted.",Source declares or links this exact locked/context product row.
infant-formula-powder-non-soy,locked_hmtc_row,almeida2022-brazil-infant-formula-toxic-metals,wiki/sources/almeida2022-brazil-infant-formula-toxic-metals.md,"Toxic Metals and Metalloids in Infant Formulas Marketed in Brazil, and Child Health Risks According to the Target Hazard Quotients and Target Cancer Risk",infant-formula-powder,broad_powder_context,frontmatter:infant-formula-powder,structured_values_present,140,"Al;tAs;Cd;Sn;tHg;Pb;U","Al;Cd;Pb;Sn;U;tAs;tHg",,true,structured_value_candidate,"Review row fit, basis, censoring, and inclusion before standards calculation use.",Source is declared for powdered formula but does not itself resolve the locked soy/non-soy row split.
infant-formula-powder-soy-based,locked_hmtc_row,almeida2022-brazil-infant-formula-toxic-metals,wiki/sources/almeida2022-brazil-infant-formula-toxic-metals.md,"Toxic Metals and Metalloids in Infant Formulas Marketed in Brazil, and Child Health Risks According to the Target Hazard Quotients and Target Cancer Risk",infant-formula-powder,broad_powder_context,frontmatter:infant-formula-powder,source_on_page_no_structured_value,0,"Al;tAs;Cd;Sn;tHg;Pb;U",,"Al;tAs;Cd;Sn;tHg;Pb;U",true,broad_context_pending_row_fit,"Keep visible as broad context; extract only if product row fit, basis, species, and statistic type can be resolved.",Source is declared for powdered formula but does not itself resolve the locked soy/non-soy row split.
infant-formula-powder-non-soy,locked_hmtc_row,amarh2023-ghana-infant-food-heavy-metals,wiki/sources/amarh2023-ghana-infant-food-heavy-metals.md,"Health risk assessment of some selected heavy metals in infant food sold in Wa, Ghana","infant-foods;infant-formula",broad_formula_context,frontmatter:infant-formula,source_on_page_no_structured_value,0,"tAs;Cd;Cr;tHg;Mn;Ni;Pb;Sb",,"tAs;Cd;Cr;tHg;Mn;Ni;Pb;Sb",true,broad_context_pending_row_fit,"Keep visible as broad context; extract only if product row fit, basis, species, and statistic type can be resolved.",Source is declared for infant formula broadly and must stay contextual until powder/liquid and soy/non-soy fit are resolved.
infant-formula-powder-soy-based,locked_hmtc_row,amarh2023-ghana-infant-food-heavy-metals,wiki/sources/amarh2023-ghana-infant-food-heavy-metals.md,"Health risk assessment of some selected heavy metals in infant food sold in Wa, Ghana","infant-foods;infant-formula",broad_formula_context,frontmatter:infant-formula,source_on_page_no_structured_value,0,"tAs;Cd;Cr;tHg;Mn;Ni;Pb;Sb",,"tAs;Cd;Cr;tHg;Mn;Ni;Pb;Sb",true,broad_context_pending_row_fit,"Keep visible as broad context; extract only if product row fit, basis, species, and statistic type can be resolved.",Source is declared for infant formula broadly and must stay contextual until powder/liquid and soy/non-soy fit are resolved.
infant-formula-rtf-liquid-non-soy,locked_hmtc_row,amarh2023-ghana-infant-food-heavy-metals,wiki/sources/amarh2023-ghana-infant-food-heavy-metals.md,"Health risk assessment of some selected heavy metals in infant food sold in Wa, Ghana","infant-foods;infant-formula",broad_formula_context,frontmatter:infant-formula,source_on_page_no_structured_value,0,"tAs;Cd;Cr;tHg;Mn;Ni;Pb;Sb",,"tAs;Cd;Cr;tHg;Mn;Ni;Pb;Sb",true,broad_context_pending_row_fit,"Keep visible as broad context; extract only if product row fit, basis, species, and statistic type can be resolved.",Source is declared for infant formula broadly and must stay contextual until powder/liquid and soy/non-soy fit are resolved.
infant-formula-rtf-liquid-soy-based,locked_hmtc_row,amarh2023-ghana-infant-food-heavy-metals,wiki/sources/amarh2023-ghana-infant-food-heavy-metals.md,"Health risk assessment of some selected heavy metals in infant food sold in Wa, Ghana","infant-foods;infant-formula",broad_formula_context,frontmatter:infant-formula,source_on_page_no_structured_value,0,"tAs;Cd;Cr;tHg;Mn;Ni;Pb;Sb",,"tAs;Cd;Cr;tHg;Mn;Ni;Pb;Sb",true,broad_context_pending_row_fit,"Keep visible as broad context; extract only if product row fit, basis, species, and statistic type can be resolved.",Source is declared for infant formula broadly and must stay contextual until powder/liquid and soy/non-soy fit are resolved.
