product_slug,metal_species,extracted_n_total,extracted_n_display,source_count,basis_types,loaded_source_values_summary,regulatory_reference_values,source_pages,source_page_slugs,follow_up_queue_summary
infant-formula-powder-non-soy,Pb,393,393; 6 sources; prepared-for-feeding and as-sold,6,prepared-for-feeding and as-sold,FDA 2026: N=230; prepared-for-feeding; highest 0.6 ppb | Dabeka 2011: N=57; prepared-for-feeding; mean 0.65; median 0.34; highest 3.46 ppb | Kazi 2009: N=13; as-sold; mean 64.2; range 28.7-97; highest 97 ppb | Almeida 2022: 10 extracted rows; N pending; as-sold; row means 11-36; 6 rows reported <3 ppb | Chung 2021: N=93; as-sold; mean 2.03; highest 5.75 ppb | Fsa 2016: 6 extracted rows; N pending; as-sold; reported means/LB-UB 0-6.5 ppb,EU: 20 ug/kg Pb; as sold; regulations/eu2023-contaminants-maximum-levels | FDA: no formula-specific regulatory value loaded for this metal/species.,Almeida 2022; Chung 2021; Dabeka 2011; FDA 2026; Fsa 2016; Kazi 2009,sources/almeida2022-brazil-infant-formula-toxic-metals; sources/chung2021-china-infant-formula-toxic-elements; sources/dabeka2011-canada-infant-formula-lead-cadmium-aluminum; sources/fda2026-infant-formula-toxic-elements-special-survey; sources/fsa2016-infant-food-formula-metals-survey; sources/kazi2009-toxic-elements-in-infant-formulae,18 routed sources still need follow-up before the evidence pool is complete. 11 need direct product-row extraction; 1 needs direct source promotion onto the product page; 5 need row-fit review before extraction; 1 needs context extraction or context-only documentation.
infant-formula-powder-non-soy,Cd,393,393; 6 sources; prepared-for-feeding and as-sold,6,prepared-for-feeding and as-sold,FDA 2026: N=230; prepared-for-feeding; highest 1.3 ppb | Dabeka 2011: N=57; prepared-for-feeding; mean 0.17; median 0.06; highest 1.21 ppb | Kazi 2009: N=13; as-sold; mean 7.86; range 4.2-12.3; highest 12.3 ppb | Almeida 2022: 10 extracted rows; N pending; as-sold; row means 4-8; 1 row reported <2 ppb | Chung 2021: N=93; as-sold; mean 0.98; highest 3.58 ppb | Fsa 2016: 6 extracted rows; N pending; as-sold; reported means/LB-UB 0-8 ppb,EU: 10 ug/kg Cd; as sold; regulations/eu-2023-915-cadmium | FDA: no formula-specific regulatory value loaded for this metal/species.,Almeida 2022; Chung 2021; Dabeka 2011; FDA 2026; Fsa 2016; Kazi 2009,sources/almeida2022-brazil-infant-formula-toxic-metals; sources/chung2021-china-infant-formula-toxic-elements; sources/dabeka2011-canada-infant-formula-lead-cadmium-aluminum; sources/fda2026-infant-formula-toxic-elements-special-survey; sources/fsa2016-infant-food-formula-metals-survey; sources/kazi2009-toxic-elements-in-infant-formulae,18 routed sources still need follow-up before the evidence pool is complete. 11 need direct product-row extraction; 1 needs direct source promotion onto the product page; 5 need row-fit review before extraction; 1 needs context extraction or context-only documentation.
infant-formula-powder-non-soy,iAs,0,0; 1 source; as-sold,1,as-sold,Fsa 2016: 6 extracted rows; N pending; as-sold; reported means/LB-UB 0.7-7 ppb,EU: 20 ug/kg iAs; as sold; regulations/eu2023-contaminants-maximum-levels | FDA: no formula-specific regulatory value loaded for this metal/species.,FDA 2026; Fsa 2016,sources/fda2026-infant-formula-toxic-elements-special-survey; sources/fsa2016-infant-food-formula-metals-survey,18 routed sources still need follow-up before the evidence pool is complete. 11 need direct product-row extraction; 1 needs direct source promotion onto the product page; 5 need row-fit review before extraction; 1 needs context extraction or context-only documentation.
infant-formula-powder-non-soy,tAs,323,323; 4 sources; prepared-for-feeding and as-sold,4,prepared-for-feeding and as-sold,FDA 2026: N=230; prepared-for-feeding; highest 4.7 ppb | Almeida 2022: 10 extracted rows; N pending; as-sold; row means 12-34; 2 rows reported <11 ppb | Chung 2021: N=93; as-sold; mean 3.32; highest 7.87 ppb | Fsa 2016: 6 extracted rows; N pending; as-sold; reported means/LB-UB 1-14 ppb,FDA: no formula-specific regulatory value loaded for this metal/species. | EU: no formula-specific regulatory value loaded for this metal/species.,Almeida 2022; Chung 2021; FDA 2026; Fsa 2016,sources/almeida2022-brazil-infant-formula-toxic-metals; sources/chung2021-china-infant-formula-toxic-elements; sources/fda2026-infant-formula-toxic-elements-special-survey; sources/fsa2016-infant-food-formula-metals-survey,18 routed sources still need follow-up before the evidence pool is complete. 11 need direct product-row extraction; 1 needs direct source promotion onto the product page; 5 need row-fit review before extraction; 1 needs context extraction or context-only documentation.
infant-formula-powder-non-soy,tHg,230,230; 3 sources; prepared-for-feeding and as-sold,3,prepared-for-feeding and as-sold,FDA 2026: N=230; prepared-for-feeding; highest 0.3 ppb | Almeida 2022: 10 extracted rows; N pending; as-sold; 10 rows reported <3-11 ppb | Fsa 2016: 6 extracted rows; N pending; as-sold; reported means/LB-UB 0-1 ppb,FDA: no formula-specific regulatory value loaded for this metal/species. | EU: no formula-specific regulatory value loaded for this metal/species.,Almeida 2022; FDA 2026; Fsa 2016,sources/almeida2022-brazil-infant-formula-toxic-metals; sources/fda2026-infant-formula-toxic-elements-special-survey; sources/fsa2016-infant-food-formula-metals-survey,18 routed sources still need follow-up before the evidence pool is complete. 11 need direct product-row extraction; 1 needs direct source promotion onto the product page; 5 need row-fit review before extraction; 1 needs context extraction or context-only documentation.
infant-formula-powder-non-soy,MeHg,0,N pending,0,none,No structured values loaded for this metal/species.,FDA: no formula-specific regulatory value loaded for this metal/species. | EU: no formula-specific regulatory value loaded for this metal/species.,,,18 routed sources still need follow-up before the evidence pool is complete. 11 need direct product-row extraction; 1 needs direct source promotion onto the product page; 5 need row-fit review before extraction; 1 needs context extraction or context-only documentation.
infant-formula-powder-non-soy,Ni,0,0; 1 source; as-sold,1,as-sold,Fsa 2016: 6 extracted rows; N pending; as-sold; reported means/LB-UB 0-54 ppb,FDA: no formula-specific regulatory value loaded for this metal/species. | EU: no formula-specific regulatory value loaded for this metal/species.,Fsa 2016,sources/fsa2016-infant-food-formula-metals-survey,18 routed sources still need follow-up before the evidence pool is complete. 11 need direct product-row extraction; 1 needs direct source promotion onto the product page; 5 need row-fit review before extraction; 1 needs context extraction or context-only documentation.
infant-formula-powder-non-soy,Al,70,70; 4 sources; prepared-for-feeding and as-sold,4,prepared-for-feeding and as-sold,Dabeka 2011: N=57; prepared-for-feeding; mean 177; median 44; highest 1004 ppb | Kazi 2009: N=13; as-sold; mean 1018.5; range 640-1520; highest 1520 ppb | Almeida 2022: 10 extracted rows; N pending; as-sold; row means 432-1241; 1 row reported <430 ppb | Fsa 2016: 6 extracted rows; N pending; as-sold; reported means/LB-UB 388-1000 ppb,FDA: no formula-specific regulatory value loaded for this metal/species. | EU: no formula-specific regulatory value loaded for this metal/species.,Almeida 2022; Dabeka 2011; Fsa 2016; Kazi 2009,sources/almeida2022-brazil-infant-formula-toxic-metals; sources/dabeka2011-canada-infant-formula-lead-cadmium-aluminum; sources/fsa2016-infant-food-formula-metals-survey; sources/kazi2009-toxic-elements-in-infant-formulae,18 routed sources still need follow-up before the evidence pool is complete. 11 need direct product-row extraction; 1 needs direct source promotion onto the product page; 5 need row-fit review before extraction; 1 needs context extraction or context-only documentation.
infant-formula-powder-non-soy,Sn,0,0; 2 sources; as-sold,2,as-sold,Almeida 2022: 10 extracted rows; N pending; as-sold; row means 7-95 ppb | Fsa 2016: 6 extracted rows; N pending; as-sold; reported means/LB-UB 0-40 ppb,FDA: no formula-specific regulatory value loaded for this metal/species. | EU: no formula-specific regulatory value loaded for this metal/species.,Almeida 2022; Fsa 2016,sources/almeida2022-brazil-infant-formula-toxic-metals; sources/fsa2016-infant-food-formula-metals-survey,18 routed sources still need follow-up before the evidence pool is complete. 11 need direct product-row extraction; 1 needs direct source promotion onto the product page; 5 need row-fit review before extraction; 1 needs context extraction or context-only documentation.
infant-formula-powder-non-soy,Cr-VI,0,N pending,0,none,No structured values loaded for this metal/species.,FDA: no formula-specific regulatory value loaded for this metal/species. | EU: no formula-specific regulatory value loaded for this metal/species.,,,18 routed sources still need follow-up before the evidence pool is complete. 11 need direct product-row extraction; 1 needs direct source promotion onto the product page; 5 need row-fit review before extraction; 1 needs context extraction or context-only documentation.
infant-formula-powder-non-soy,Cr-total,93,93; 2 sources; as-sold,2,as-sold,Chung 2021: N=93; as-sold; mean 27.38; highest 83.8 ppb | Fsa 2016: 6 extracted rows; N pending; as-sold; reported means/LB-UB 0-73 ppb,FDA: no formula-specific regulatory value loaded for this metal/species. | EU: no formula-specific regulatory value loaded for this metal/species.,Chung 2021; Fsa 2016,sources/chung2021-china-infant-formula-toxic-elements; sources/fsa2016-infant-food-formula-metals-survey,18 routed sources still need follow-up before the evidence pool is complete. 11 need direct product-row extraction; 1 needs direct source promotion onto the product page; 5 need row-fit review before extraction; 1 needs context extraction or context-only documentation.
