product_slug,source_id,source_label,source_title,source_slug,route_status,route_kind,route_kind_label,value_record_count,product_page_cites_source,metals_loaded,evidence_use,action_needed,route_note,queue_priority,local_source_status
infant-formula-powder-non-soy,marques2021-trace-elements-milks-plant-based-drinks,Marques 2021,Essential and Non-essential Trace Elements in Milks and Plant-Based Drinks,sources/marques2021-trace-elements-milks-plant-based-drinks,missing_direct_product_route,direct_product_frontmatter,Exact product frontmatter,0,false,,direct_context_pending_extraction,"Promote this source to the product page, then decide whether structured values can be extracted.",Source declares or links this exact locked product row.,P0-promote-direct-product-source,local_pdf_found
infant-formula-powder-non-soy,akhtar2017-pakistan-infant-formula-nickel-aflatoxin,Akhtar 2017,Determination of aflatoxin M1 and heavy metals in infant formula milk brands available in Pakistani markets,sources/akhtar2017-pakistan-infant-formula-nickel-aflatoxin,missing_broad_product_context,broad_powder_context,Broad powdered formula,0,false,,broad_context_pending_row_fit,Promote as broad formula context; do not use in standards calculations until row fit is resolved.,Source is declared for powdered formula but does not itself resolve the locked soy/non-soy row split.,P1-resolve-row-fit-before-extraction,local_pdf_found
infant-formula-powder-non-soy,astolfi2021-italy-powdered-infant-formula-elements,Astolfi 2021,Determination of 40 Elements in Powdered Infant Formulas and Related Risk Assessment,sources/astolfi2021-italy-powdered-infant-formula-elements,missing_broad_product_context,broad_powder_context,Broad powdered formula,0,false,,broad_context_pending_row_fit,Promote as broad formula context; do not use in standards calculations until row fit is resolved.,Source is declared for powdered formula but does not itself resolve the locked soy/non-soy row split.,P1-resolve-row-fit-before-extraction,local_pdf_found
infant-formula-powder-non-soy,lutfullah2014-peshawar-dried-fluid-milk-metals,Lutfullah 2014,Comparative study of heavy metals in dried and fluid milk in Peshawar by atomic absorption spectrophotometry,sources/lutfullah2014-peshawar-dried-fluid-milk-metals,missing_broad_product_context,broad_powder_context,Broad powdered formula,0,false,,broad_context_pending_row_fit,Promote as broad formula context; do not use in standards calculations until row fit is resolved.,Source is declared for powdered formula but does not itself resolve the locked soy/non-soy row split.,P1-resolve-row-fit-before-extraction,local_pdf_found
infant-formula-powder-non-soy,almeida2022-brazil-infant-formula-toxic-metals,Almeida 2022,"Toxic Metals and Metalloids in Infant Formulas Marketed in Brazil, and Child Health Risks According to the Target Hazard Quotients and Target Cancer Risk",sources/almeida2022-brazil-infant-formula-toxic-metals,structured_values_present,direct_product_link,Exact product link,60,true,Al;Cd;Pb;Sn;tAs;tHg,structured_value_candidate,"Review row fit, basis, censoring, and inclusion before standards calculation use.",Source declares or links this exact locked product row.,,
infant-formula-powder-non-soy,amarh2023-ghana-infant-food-heavy-metals,Amarh 2023,"Health risk assessment of some selected heavy metals in infant food sold in Wa, Ghana",sources/amarh2023-ghana-infant-food-heavy-metals,missing_broad_product_context,broad_formula_context,Broad formula,0,false,,broad_context_pending_row_fit,Promote as broad formula context; do not use in standards calculations until row fit is resolved.,Source is declared for infant formula broadly and must stay contextual until powder/liquid and soy/non-soy fit are resolved.,P1-resolve-row-fit-before-extraction,local_pdf_found
infant-formula-powder-non-soy,burrell2010-aluminium-in-infant-formulas,Burrell 2010,There is (still) too much aluminium in infant formulas,sources/burrell2010-aluminium-in-infant-formulas,source_on_page_no_structured_value,direct_product_frontmatter,Exact product frontmatter,0,true,,direct_context_pending_extraction,Extract product-row values if the source table is usable; otherwise document why it remains context only.,Source declares or links this exact locked product row.,P0-extract-direct-product-values,local_pdf_found
infant-formula-powder-non-soy,chekri2019-french-infant-toddler-tds-trace-elements,Chekri 2019,Trace element contents in foods from the first French Total Diet Study on infants and toddlers,sources/chekri2019-french-infant-toddler-tds-trace-elements,source_on_page_no_structured_value,direct_product_frontmatter,Exact product frontmatter,0,true,,direct_context_pending_extraction,Extract product-row values if the source table is usable; otherwise document why it remains context only.,Source declares or links this exact locked product row.,P0-extract-direct-product-values,local_pdf_found
infant-formula-powder-non-soy,chuchu2013-aluminium-in-infant-formulas,Chuchu 2013,The aluminium content of infant formulas remains too high,sources/chuchu2013-aluminium-in-infant-formulas,source_on_page_no_structured_value,direct_product_frontmatter,Exact product frontmatter,0,true,,direct_context_pending_extraction,Extract product-row values if the source table is usable; otherwise document why it remains context only.,Source declares or links this exact locked product row.,P0-extract-direct-product-values,local_pdf_found
infant-formula-powder-non-soy,chung2021-china-infant-formula-toxic-elements,Chung 2021,Content and Dietary Exposure Assessment of Toxic Elements in Infant Formulas from the Chinese Market,sources/chung2021-china-infant-formula-toxic-elements,structured_values_present,direct_product_link,Exact product link,4,true,Cd;Cr-total;Pb;tAs,structured_value_candidate,"Review row fit, basis, censoring, and inclusion before standards calculation use.",Source declares or links this exact locked product row.,,
infant-formula-powder-non-soy,collado-lopez2025-heavy-metals-baby-food-formula,Collado Lopez2025 Heavy Metals Baby Food Formula,Concentrations of Heavy Metals in Processed Baby Foods and Infant Formulas Worldwide: A Scoping Review,sources/collado-lopez2025-heavy-metals-baby-food-formula,source_on_page_no_structured_value,direct_product_frontmatter,Exact product frontmatter,0,true,,direct_context_pending_extraction,Extract product-row values if the source table is usable; otherwise document why it remains context only.,Source declares or links this exact locked product row.,P0-extract-direct-product-values,local_pdf_found
infant-formula-powder-non-soy,dabeka1987-canada-infant-formula-lead-cadmium,Dabeka 1987,"Lead, cadmium, and fluoride levels in market milk and infant formulas in Canada",sources/dabeka1987-canada-infant-formula-lead-cadmium,source_on_page_no_structured_value,direct_product_frontmatter,Exact product frontmatter,0,true,,direct_context_pending_extraction,Extract product-row values if the source table is usable; otherwise document why it remains context only.,Source declares or links this exact locked product row.,P0-extract-direct-product-values,local_pdf_found
infant-formula-powder-non-soy,dabeka2011-canada-infant-formula-lead-cadmium-aluminum,Dabeka 2011,"Lead, cadmium and aluminum in Canadian infant formulae, oral electrolytes and glucose solutions",sources/dabeka2011-canada-infant-formula-lead-cadmium-aluminum,structured_values_present,direct_product_frontmatter,Exact product frontmatter,3,true,Al;Cd;Pb,structured_value_candidate,"Review row fit, basis, censoring, and inclusion before standards calculation use.",Source declares or links this exact locked product row.,,
infant-formula-powder-non-soy,efsa-cadmium-contam-2009,Efsa Cadmium Contam 2009,Scientific Opinion of the Panel on Contaminants in the Food Chain on a request from the European Commission on cadmium in food,sources/efsa-cadmium-contam-2009,source_on_page_no_structured_value,broad_formula_context,Broad formula,0,true,,broad_context_pending_row_fit,Keep visible as broad context; extract only if powder/liquid and soy/non-soy row fit can be resolved.,Source is declared for infant formula broadly and must stay contextual until powder/liquid and soy/non-soy fit are resolved.,P1-extract-or-document-context-only,local_pdf_found
infant-formula-powder-non-soy,fda2026-infant-formula-toxic-elements-special-survey,FDA 2026,"Analytical Results for Toxic Elements in Infant Formula, FY2023-FY2025 Special Survey",sources/fda2026-infant-formula-toxic-elements-special-survey,structured_values_present,direct_product_frontmatter,Exact product frontmatter,4,true,Cd;Pb;tAs;tHg,structured_value_candidate,"Review row fit, basis, censoring, and inclusion before standards calculation use.",Source declares or links this exact locked product row.,,
