product_slug,source_id,source_label,source_title,source_slug,route_status,route_kind,route_kind_label,value_record_count,product_page_cites_source,metals_loaded,evidence_use,action_needed,route_note,queue_priority,local_source_status
infant-formula-rtf-liquid-soy-based,chung2021-china-infant-formula-toxic-elements,Chung 2021,Content and Dietary Exposure Assessment of Toxic Elements in Infant Formulas from the Chinese Market,sources/chung2021-china-infant-formula-toxic-elements,missing_direct_product_route,direct_product_link,Exact product link,0,false,,direct_context_pending_extraction,"Promote this source to the product page, then decide whether structured values can be extracted.",Source declares or links this exact locked product row.,,
infant-formula-rtf-liquid-soy-based,dabeka1987-canada-infant-formula-lead-cadmium,Dabeka 1987,"Lead, cadmium, and fluoride levels in market milk and infant formulas in Canada",sources/dabeka1987-canada-infant-formula-lead-cadmium,missing_direct_product_route,direct_product_frontmatter,Exact product frontmatter,0,false,,direct_context_pending_extraction,"Promote this source to the product page, then decide whether structured values can be extracted.",Source declares or links this exact locked product row.,,
infant-formula-rtf-liquid-soy-based,gardener2019-lead-cadmium-infant-formula-baby-food,Gardener 2019,Lead and cadmium contamination in a large sample of United States infant formulas and baby foods,sources/gardener2019-lead-cadmium-infant-formula-baby-food,missing_direct_product_route,direct_product_link,Exact product link,0,false,,direct_context_pending_extraction,"Promote this source to the product page, then decide whether structured values can be extracted.",Source declares or links this exact locked product row.,,
infant-formula-rtf-liquid-soy-based,pandelova2012-eu-baby-food-formula-elements,Pandelova 2012,"Ca, Cd, Cu, Fe, Hg, Mn, Ni, Pb, Se, and Zn contents in baby foods from the EU market: Comparison of assessed infant intakes with the present safety limits for minerals and trace elements",sources/pandelova2012-eu-baby-food-formula-elements,missing_direct_product_route,direct_product_link,Exact product link,0,false,,direct_context_pending_extraction,"Promote this source to the product page, then decide whether structured values can be extracted.",Source declares or links this exact locked product row.,,
infant-formula-rtf-liquid-soy-based,amarh2023-ghana-infant-food-heavy-metals,Amarh 2023,"Health risk assessment of some selected heavy metals in infant food sold in Wa, Ghana",sources/amarh2023-ghana-infant-food-heavy-metals,missing_broad_product_context,broad_formula_context,Broad formula,0,false,,broad_context_pending_row_fit,Promote as broad formula context; do not use in standards calculations until row fit is resolved.,Source is declared for infant formula broadly and must stay contextual until powder/liquid and soy/non-soy fit are resolved.,,
infant-formula-rtf-liquid-soy-based,collado-lopez2025-heavy-metals-baby-food-formula,Collado Lopez2025 Heavy Metals Baby Food Formula,Concentrations of Heavy Metals in Processed Baby Foods and Infant Formulas Worldwide: A Scoping Review,sources/collado-lopez2025-heavy-metals-baby-food-formula,source_on_page_no_structured_value,direct_product_frontmatter,Exact product frontmatter,0,true,,direct_context_pending_extraction,Extract product-row values if the source table is usable; otherwise document why it remains context only.,Source declares or links this exact locked product row.,,
infant-formula-rtf-liquid-soy-based,dabeka2011-canada-infant-formula-lead-cadmium-aluminum,Dabeka 2011,"Lead, cadmium and aluminum in Canadian infant formulae, oral electrolytes and glucose solutions",sources/dabeka2011-canada-infant-formula-lead-cadmium-aluminum,structured_values_present,direct_product_frontmatter,Exact product frontmatter,3,true,Al;Cd;Pb,structured_value_candidate,"Review row fit, basis, censoring, and inclusion before standards calculation use.",Source declares or links this exact locked product row.,,
infant-formula-rtf-liquid-soy-based,efsa-cadmium-contam-2009,Efsa Cadmium Contam 2009,Scientific Opinion of the Panel on Contaminants in the Food Chain on a request from the European Commission on cadmium in food,sources/efsa-cadmium-contam-2009,missing_broad_product_context,broad_formula_context,Broad formula,0,false,,broad_context_pending_row_fit,Promote as broad formula context; do not use in standards calculations until row fit is resolved.,Source is declared for infant formula broadly and must stay contextual until powder/liquid and soy/non-soy fit are resolved.,,
infant-formula-rtf-liquid-soy-based,fda2026-infant-formula-toxic-elements-special-survey,FDA 2026,"Analytical Results for Toxic Elements in Infant Formula, FY2023-FY2025 Special Survey",sources/fda2026-infant-formula-toxic-elements-special-survey,structured_values_present,direct_product_frontmatter,Exact product frontmatter,4,true,Cd;Pb;tAs;tHg,structured_value_candidate,"Review row fit, basis, censoring, and inclusion before standards calculation use.",Source declares or links this exact locked product row.,,
infant-formula-rtf-liquid-soy-based,fsa2016-infant-food-formula-metals-survey,Fsa 2016,"Survey of metals in commercial infant foods, infant formula and non-infant specific foods",sources/fsa2016-infant-food-formula-metals-survey,source_on_page_no_structured_value,direct_product_link,Exact product link,0,true,,direct_context_pending_extraction,Extract product-row values if the source table is usable; otherwise document why it remains context only.,Source declares or links this exact locked product row.,,
infant-formula-rtf-liquid-soy-based,jackson2012-arsenic-organic-foods-brown-rice-syrup,Jackson 2012,"Arsenic, Organic Foods, and Brown Rice Syrup",sources/jackson2012-arsenic-organic-foods-brown-rice-syrup,missing_broad_product_context,broad_formula_context,Broad formula,0,false,,broad_context_pending_row_fit,Promote as broad formula context; do not use in standards calculations until row fit is resolved.,Source is declared for infant formula broadly and must stay contextual until powder/liquid and soy/non-soy fit are resolved.,,
infant-formula-rtf-liquid-soy-based,spungen2024-fda-tds-infant-lead-cadmium,Spungen 2024,Infants' and young children's dietary exposures to lead and cadmium: FDA total diet study 2018-2020,sources/spungen2024-fda-tds-infant-lead-cadmium,source_on_page_no_structured_value,direct_product_link,Exact product link,0,true,,direct_context_pending_extraction,Extract product-row values if the source table is usable; otherwise document why it remains context only.,Source declares or links this exact locked product row.,,
infant-formula-rtf-liquid-soy-based,tatsuta2024-methylmercury-intake-children-duplicate-diet,Tatsuta 2024,Dietary intake of methylmercury by 0-5 years children using the duplicate diet method in Japan,sources/tatsuta2024-methylmercury-intake-children-duplicate-diet,missing_broad_product_context,broad_formula_context,Broad formula,0,false,,broad_context_pending_row_fit,Promote as broad formula context; do not use in standards calculations until row fit is resolved.,Source is declared for infant formula broadly and must stay contextual until powder/liquid and soy/non-soy fit are resolved.,,
